chargeId,catalogLabel,proposedAlias,citation,subdivision,officialCodeUrl,approvedDisplayName,decision,reviewer,reviewedAt,note
nc-accessory-after-the-fact,Accessory After the Fact,Accessories after the fact; trial and punishment,N.C. Gen. Stat. § 14-7,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-7.html,Accessory After the Fact,approve,Shahab Asghar,2026-09-02,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-7.html
nc-aggravated-assault,Aggravated Assault,Felonious assault with deadly weapon with intent to kill or inflicting serious injury; punishments,N.C. Gen. Stat. § 14-32,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-32.html,"Assault with Deadly Weapon, Intend to Kill or Seriously Injure",approve,Shahab Asghar,2026-09-02,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-32.html
nc-aiding-and-abetting,Aiding and Abetting / Accomplice Liability,Accessory before fact punishable as principal felon,N.C. Gen. Stat. § 14-5.2,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-5.2.html,Accessory Before the Fact,approve,Shahab Asghar,2026-09-02,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-32.html
nc-alcohol-in-park,Possession of Alcohol in Park / Prohibited Area,Possession and consumption of fortified wine and spirituous liquor,N.C. Gen. Stat. § 18B-301(f),(f),https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_18B/GS_18B-301.html,Unlawful Possession and Consumption of Alcohol,approve,Shahab Asghar,2026-09-02,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_18B/GS_18B-301.html
nc-animal-at-large,Animal at Large / Leash Law Violation,Permitting dogs to run at large at night; penalty; liability for damage,N.C. Gen. Stat. § 67-12,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_67/GS_67-12.html,Unaccompanied Dog at Night,approve,Shahab Asghar,2026-09-02,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_67/GS_67-12.html
nc-assault-in-the-first-degree,Assault in the First Degree,Felonious assault with deadly weapon with intent to kill or inflicting serious injury; punishments,N.C. Gen. Stat. § 14-32,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-32.html,Assault with a Deadly Weapon,reject,Shahab Asghar,2026-09-02,"This should be split up into separate charges based on subsection, since they have different charge classes 1)  ""Assault with a Deadly Weapon with Intent to Kill and Serious Injury"" (a); 2_ ""Assault with a Deadly Weapon with Serious Injury"" (b); 3) ""Assault with a Deadly Weapon with Intent to Kill"" (c); 4) Assault  with a Deadly Weapon on Emergency Worker with Serious Injury"" (d); and 5) Assault with a Deadly Weapon on Emergency Worker with Intent to Kill."
nc-assault-in-the-second-degree,Assault in the Second Degree,Assaults on individuals with a disability; punishments,N.C. Gen. Stat. § 14-32.1,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-32.1.html,Asssault on a Disabled Individual,approve,Shahab Asghar,2026-09-02,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-32.1.html
nc-assault-in-the-third-degree,Assault in the Third Degree,"Misdemeanor assaults, batteries, and affrays, simple and aggravated; punishments",N.C. Gen. Stat. § 14-33(a),(a),https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-33.html,Simple Assault and/or Battery,approve,Shahab Asghar,2026-09-02,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-33.html
nc-assault-on-peace-officer,Assault on Peace Officer,"Misdemeanor assaults, batteries, and affrays, simple and aggravated; punishments",N.C. Gen. Stat. § 14-33(c)(4),(c)(4),https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-33.html,Assault and/or Battery on Officer of the State,pending,Shahab Asghar,2026-09-02,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-33.html
nc-assault-with-deadly-weapon,Assault with Deadly Weapon,"Misdemeanor assaults, batteries, and affrays, simple and aggravated; punishments",N.C. Gen. Stat. § 14-33(c)(1),(c)(1),https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-33.html,Assault with Deadly Weapon and/or Serious Injury,pending,Shahab Asghar,2026-09-02,"FLAG - this provision has other charges/circumstances in subjection (c) that are not covered on this sheet. Eg. Assault on a woman or pregnant woman (c)(2), Assault on a child under 12 (c)(3); Assault on a School Official (c)(6), Assault on a Public Transit Officer (c)(7), Assault on a Police Officer (c)(8), and Assault on a Transport Network Company Driver (c)(9). If these are not covered elsewhere, let's cover them.  https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-33.html"
nc-attempted-murder,Attempted Murder,Murder in the first and second degree defined; punishment,N.C. Gen. Stat. § 14-17,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-17.html,Murder in the First Degree,reject,Shahab Asghar,2026-09-02,"This is not an attempted murder charge, this citation is for actual murder. Also there are different charges by subsection. Subsection (a) is Murder in the First Degree. Update this. Subjsection (b) is Murder in the Second Degree. "
nc-attempted-robbery,Attempted Robbery,Punishment for attempt to commit a felony or misdemeanor,N.C. Gen. Stat. § 14-2.5,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-2.5.html,Attempt to Commit a Felony or Misdemeanor ,reject,Shahab Asghar,2026-09-02,"This is a general attempt charge, nothing to do with Robbery. Our category label is wrong. "
nc-attempted-sexual-assault,Attempted Sexual Assault,Punishment for attempt to commit a felony or misdemeanor,N.C. Gen. Stat. § 14-2.5,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-2.5.html,Attempt to Commit a Felony or Misdemeanor ,reject,Shahab Asghar,2026-09-02,"This is a general attempt charge, nothing to do with Robbery. Our category label is wrong. "
nc-auto-burglary,Auto Burglary,"Breaking or entering into or breaking out of railroad cars, motor vehicles, trailers, aircraft, boats, or other watercraft",N.C. Gen. Stat. § 14-56,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-56.html,Breaking and Entering Into Vehicles,approve,Shahab Asghar,2026-09-02,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-56.html
nc-bank-robbery,Bank Robbery,Robbery with firearms or other dangerous weapons,N.C. Gen. Stat. § 14-87,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-87.html,Armed Robbery,reject,Shahab Asghar,2026-09-02,"The category is wrong - this is not bank robbery, this is general armed robbery. "
nc-burglary-in-the-first-degree,Burglary in the First Degree,First and second degree burglary,N.C. Gen. Stat. § 14-51,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-51.html,Burglary,reject,Shahab Asghar,2026-09-02,"The category is wrong - this should be separated into two separate charges based on subjection: 1) ""Burglary in the First Degree"" (a); 2 ""Burglary in the Second Degree"" (b) "
nc-burglary-in-the-second-degree,Burglary in the Second Degree,Breaking or entering buildings generally,N.C. Gen. Stat. § 14-54,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-54.html,Breaking and Entering - General ,reject,Shahab Asghar,2026-09-02,"The citation is correct but the category is wrong - this is Breaking & Entering, not Burglary in the Second Degree. Update. https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-54.html"
nc-carjacking,Carjacking,Robbery with firearms or other dangerous weapons,N.C. Gen. Stat. § 14-87,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-87.html,Armed Robbery,reject,Shahab Asghar,2026-09-02,"The category is wrong - this is not carjacking, this is general armed robbery. Same issue as row 16 above"
nc-check-fraud,Check Fraud,"Obtaining property in return for worthless check, draft or order",N.C. Gen. Stat. § 14-106,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-106.html,Check Fraud,approve,Shahab Asghar,2026-09-02,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-106.html
nc-child-sexual-abuse,Child Sexual Abuse,Taking indecent liberties with children,N.C. Gen. Stat. § 14-202.1,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-202.1.html,Child Sexual Abuse,approve,Shahab Asghar,2026-09-02,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-202.1.html
nc-commercial-burglary,Commercial Burglary,Breaking or entering buildings generally,N.C. Gen. Stat. § 14-54,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-54.html,Breaking and Entering - General ,reject,Shahab Asghar,2026-09-02,"The citation is correct but the category is wrong - this is Breaking & Entering, not Commercial Burglary. Update. https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-54.html"
nc-computer-fraud,Computer Fraud,Exceptions,N.C. Gen. Stat. § 14-453.1,Whole section,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-453.1.html,,reject,Shahab Asghar,2026-09-02,"This is not a charge, this is an exception/qualifier to a Computer Fraud charge."
