"chargeId","catalogLabel","proposedAlias","citation","subdivision","officialCodeUrl","approvedDisplayName","decision","reviewer","reviewedAt","note"
"nc-accessory-after-the-fact","Accessory After the Fact","Accessories after the fact; trial and punishment","N.C. Gen. Stat. § 14-7","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-7.html","","","","",""
"nc-aggravated-assault","Aggravated Assault","Felonious assault with deadly weapon with intent to kill or inflicting serious injury; punishments","N.C. Gen. Stat. § 14-32","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-32.html","","","","",""
"nc-aiding-and-abetting","Aiding and Abetting / Accomplice Liability","Accessory before fact punishable as principal felon","N.C. Gen. Stat. § 14-5.2","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-5.2.html","","","","",""
"nc-alcohol-in-park","Possession of Alcohol in Park / Prohibited Area","Possession and consumption of fortified wine and spirituous liquor","N.C. Gen. Stat. § 18B-301(f)","(f)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_18B/GS_18B-301.html","","","","",""
"nc-animal-at-large","Animal at Large / Leash Law Violation","Permitting dogs to run at large at night; penalty; liability for damage","N.C. Gen. Stat. § 67-12","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_67/GS_67-12.html","","","","",""
"nc-assault-in-the-first-degree","Assault in the First Degree","Felonious assault with deadly weapon with intent to kill or inflicting serious injury; punishments","N.C. Gen. Stat. § 14-32","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-32.html","","","","",""
"nc-assault-in-the-second-degree","Assault in the Second Degree","Assaults on individuals with a disability; punishments","N.C. Gen. Stat. § 14-32.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-32.1.html","","","","",""
"nc-assault-in-the-third-degree","Assault in the Third Degree","Misdemeanor assaults, batteries, and affrays, simple and aggravated; punishments","N.C. Gen. Stat. § 14-33(a)","(a)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-33.html","","","","",""
"nc-assault-on-peace-officer","Assault on Peace Officer","Misdemeanor assaults, batteries, and affrays, simple and aggravated; punishments","N.C. Gen. Stat. § 14-33(c)(4)","(c)(4)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-33.html","","","","",""
"nc-assault-with-deadly-weapon","Assault with Deadly Weapon","Misdemeanor assaults, batteries, and affrays, simple and aggravated; punishments","N.C. Gen. Stat. § 14-33(c)(1)","(c)(1)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-33.html","","","","",""
"nc-attempted-murder","Attempted Murder","Murder in the first and second degree defined; punishment","N.C. Gen. Stat. § 14-17","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-17.html","","","","",""
"nc-attempted-robbery","Attempted Robbery","Punishment for attempt to commit a felony or misdemeanor","N.C. Gen. Stat. § 14-2.5","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-2.5.html","","","","",""
"nc-attempted-sexual-assault","Attempted Sexual Assault","Punishment for attempt to commit a felony or misdemeanor","N.C. Gen. Stat. § 14-2.5","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-2.5.html","","","","",""
"nc-auto-burglary","Auto Burglary","Breaking or entering into or breaking out of railroad cars, motor vehicles, trailers, aircraft, boats, or other watercraft","N.C. Gen. Stat. § 14-56","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-56.html","","","","",""
"nc-bank-robbery","Bank Robbery","Robbery with firearms or other dangerous weapons","N.C. Gen. Stat. § 14-87","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-87.html","","","","",""
"nc-burglary-in-the-first-degree","Burglary in the First Degree","First and second degree burglary","N.C. Gen. Stat. § 14-51","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-51.html","","","","",""
"nc-burglary-in-the-second-degree","Burglary in the Second Degree","Breaking or entering buildings generally","N.C. Gen. Stat. § 14-54","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-54.html","","","","",""
"nc-carjacking","Carjacking","Robbery with firearms or other dangerous weapons","N.C. Gen. Stat. § 14-87","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-87.html","","","","",""
"nc-check-fraud","Check Fraud","Obtaining property in return for worthless check, draft or order","N.C. Gen. Stat. § 14-106","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-106.html","","","","",""
"nc-child-sexual-abuse","Child Sexual Abuse","Taking indecent liberties with children","N.C. Gen. Stat. § 14-202.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-202.1.html","","","","",""
"nc-commercial-burglary","Commercial Burglary","Breaking or entering buildings generally","N.C. Gen. Stat. § 14-54","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-54.html","","","","",""
