"chargeId","catalogLabel","catalogCode","catalogCategory","currentDisposition","currentDispositionReason","proposedAlias","citation","subdivision","officialCodeUrl","officialTitle","sourceStatus","approvedDisplayName","correctedCitation","correctedSubdivision","decision","reviewer","reviewedAt","note"
"pa-accessory-after-the-fact","Accessory After the Fact","MPC § 2.07 / PA accessory statute","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 5105","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=51&sctn=5&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-aggravated-assault","Aggravated Assault","2702","felony","retain","Catalog label matches the official Pennsylvania title.","Aggravated assault","18 Pa. Cons. Stat. § 2702","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=27&sctn=2&subsctn=0","Aggravated assault","Verified source in committed manifest","","","","","","",""
"pa-aiding-and-abetting","Aiding and Abetting / Accomplice Liability","MPC § 2.06 / PA accomplice statute","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 306","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=3&sctn=6&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-alcohol-in-park","Possession of Alcohol in Park / Prohibited Area","4-406","misdemeanor","require_exact_reselection","The exact official unconsolidated-statute retrieval path is approved, but publication remains withheld until attorney review confirms that the legacy text substantively supports this catalog charge; secondary, inferred, nearby, and alternate citations are rejected.","","47 P.S. § 4-406","Whole section","https://www.palegis.us/statutes/unconsolidated/law-information/view-statute?actNum=0021.&sessInd=0&sessYr=1951&smthLwInd=0&chpt=4&sctn=6","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-animal-at-large","Animal at Large / Leash Law Violation","459-305","misdemeanor","require_exact_reselection","The exact official unconsolidated-statute retrieval path is approved, but publication remains withheld until attorney review confirms that the legacy text substantively supports this catalog charge; secondary, inferred, nearby, and alternate citations are rejected.","","3 P.S. § 459-305","Whole section","https://www.palegis.us/statutes/unconsolidated/law-information/view-statute?actNum=0225.&sessInd=0&sessYr=1982&smthLwInd=0&chpt=3&sctn=5","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-animal-cruelty-misdemeanor","Animal Cruelty (Misdemeanor)","18-5511","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 5533","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=55&sctn=33&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-assault-on-peace-officer","Assault on Peace Officer","2702.1","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 2702(a)(2)","(a)(2)","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=27&sctn=2&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-attempted-murder","Attempted Murder","PA attempted murder statute / MPC § 5.01","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa.C.S. § 901","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=9&sctn=1&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-attempted-robbery","Attempted Robbery","PA attempted robbery statute / MPC § 5.01","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. §§ 901, 3701","Whole section; Whole section","","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-attempted-sexual-assault","Attempted Sexual Assault","PA attempted sexual assault statute / MPC § 5.01","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa.C.S. §§ 901, 3124.1","Whole section; Whole section","","","Source reference exists; exact official text is withheld","","","","","","",""
