"chargeId","catalogLabel","proposedAlias","citation","subdivision","officialCodeUrl","decision","reviewer","reviewedAt","note"
"sc-voluntary-manslaughter","Voluntary Manslaughter","Manslaughter","S.C. Code Ann. § 16-3-50","Whole section","https://www.scstatehouse.gov/code/t16c003.php","","","",""
"sc-involuntary-manslaughter","Involuntary Manslaughter","Involuntary manslaughter; ""criminal negligence"" defined","S.C. Code Ann. § 16-3-60","Whole section","https://www.scstatehouse.gov/code/t16c003.php","","","",""
"sc-criminally-negligent-homicide","Criminally Negligent Homicide","Involuntary manslaughter; ""criminal negligence"" defined","S.C. Code Ann. § 16-3-60","Whole section","https://www.scstatehouse.gov/code/t16c003.php","","","",""
"sc-rape-in-the-first-degree","Rape in the First Degree","Criminal sexual conduct in the first degree","S.C. Code Ann. § 16-3-652","Whole section","https://www.scstatehouse.gov/code/t16c003.php","","","",""
"sc-rape-in-the-second-degree","Rape in the Second Degree","Criminal sexual conduct in the second degree","S.C. Code Ann. § 16-3-653","Whole section","https://www.scstatehouse.gov/code/t16c003.php","","","",""
"sc-sexual-assault-in-the-first-degree","Sexual Assault in the First Degree","Criminal sexual conduct in the first degree","S.C. Code Ann. § 16-3-652","Whole section","https://www.scstatehouse.gov/code/t16c003.php","","","",""
"sc-sexual-assault-in-the-second-degree","Sexual Assault in the Second Degree","Criminal sexual conduct in the second degree","S.C. Code Ann. § 16-3-653","Whole section","https://www.scstatehouse.gov/code/t16c003.php","","","",""
"sc-sexual-assault-in-the-third-degree","Sexual Assault in the Third Degree","Criminal sexual conduct in the third degree","S.C. Code Ann. § 16-3-654","Whole section","https://www.scstatehouse.gov/code/t16c003.php","","","",""
"sc-statutory-rape","Statutory Rape","Criminal sexual conduct with a minor; aggravating and mitigating circumstances; penalties; repeat offenders","S.C. Code Ann. § 16-3-655(C)","(C)","https://www.scstatehouse.gov/code/t16c003.php","","","",""
"sc-theft-by-receiving","Theft by Receiving","Receiving stolen goods, chattels, or other property; receiving or possessing property represented by law enforcement as stolen; penalties","S.C. Code Ann. § 16-13-180","Whole section","https://www.scstatehouse.gov/code/t16c013.php","","","",""
