"queue_order","queue_group","record_id","legacy_label","proposed_name","statutory_scope","citation","source_url","existing_status","triage_reason","evidence_or_hold_reason","scope_specific_question","en_explanation","es_explanation","zh_explanation","recovered_authorities_pending_work","attorney_decision","attorney_notes","reviewer_name","review_date"
"1","new_selectable_recovered_batch_e","fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","","Use, possession, manufacture, delivery, transportation, advertisement, or retail sale of drug paraphernalia, specified machines, and materials","893.147(4)(b)","Fla. Stat. § 893.147(4)(b)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0893/Sections/0893.147.html","eligible","new_selectable_development_record_requires_attorney_review","The official section heading supplies exact statutory identity; subsection (4)'s parent supplies the conduct, knowledge, and transportation elements, paragraph (4)(b) supplies the narrow incorporated contraband alternative, and the common subsection tail supplies felony grading. Current § 932.701(2)(a)1. supports that alternative without projecting the rest of the contraband-article list.","Does record fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials accurately state the offense identity, conduct, grade, definitions, exceptions, and defenses at Fla. Stat. § 893.147(4)(b)? If not, specify an exact correction or other catalog action.","Using, possessing with intent to use, or manufacturing with intent to use drug paraphernalia, while knowing or under circumstances where one reasonably should know it will be used to transport a contraband article within § 932.701(2)(a)1.'s narcotics-related definition. Third-degree felony. This record is confined to § 932.701(2)(a)1.: a chapter 893 controlled substance, or a substance, device, paraphernalia, currency, or other means of exchange used, attempted to be used, or intended to be used in violation of chapter 893, when the state's facts clearly suffice to establish probable cause of a nexus between the seized article and narcotics activity. It does not include the other contraband-article categories in § 932.701(2)(a).","Usar, poseer con intención de usar o fabricar con intención de usar parafernalia de drogas, sabiendo o en circunstancias en que razonablemente debería saberse que se usará para transportar un bien de contrabando comprendido en la definición relacionada con narcóticos del § 932.701(2)(a)1. Delito grave de tercer grado. Este registro se limita al § 932.701(2)(a)1.: una sustancia controlada conforme al capítulo 893, o una sustancia, dispositivo, parafernalia, moneda u otro medio de intercambio usado, que se intentó usar o destinado a usarse en infracción del capítulo 893, cuando los hechos presentados por el estado sean claramente suficientes para establecer causa probable de un nexo entre el bien incautado y la actividad de narcóticos. No incluye las demás categorías de bienes de contrabando del § 932.701(2)(a).","使用、意图使用而持有，或意图使用而制造吸毒用具，同时明知或在理应知道的情形下，该用具将被用于运输第932.701(2)(a)1条涉毒定义范围内的违禁物品。 三级重罪。本记录仅限第932.701(2)(a)1条：第893章所定义的受管制物质，或已经、曾试图或意图用于违反第893章的物质、装置、用具、货币或其他交换手段，且州方提出的全部事实明确足以确立合理根据，相信被扣押物品与毒品活动之间存在关联。它不包括第932.701(2)(a)条中的其他违禁物品类别。","","","","",""
"2","new_selectable_batch_f","fl-fs-825-102-1-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","","Abuse, aggravated abuse, and neglect of an elderly person or disabled adult; penalties","825.102(1)","Fla. Stat. § 825.102(1)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0825/Sections/0825.102.html","eligible","new_selectable_development_record_requires_attorney_review","The exact official heading supplies the statutory identity; subsection (1) supplies four abuse alternatives, the knowledge or willfulness requirement, the no-great-harm limitation, an express isolation defense, and the third-degree-felony grade.","Does record fl-fs-825-102-1-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties accurately state the offense identity, conduct, grade, definitions, exceptions, and defenses at Fla. Stat. § 825.102(1)? If not, specify an exact correction or other catalog action.","Knowingly or willfully abusing an elderly person or disabled adult, without causing great bodily harm, permanent disability, or permanent disfigurement. Abuse includes intentionally inflicting injury, an intentional act reasonably expected to cause injury, actively encouraging such an act, or the specified intentional and unauthorized isolation or restriction of family access. Third-degree felony. For the isolation or family-access branch, it is a defense that the defendant reasonably believed the action was necessary to protect the person's welfare. Section 825.101 supplies the controlling definitions of elderly person and disabled adult.","Abusar a sabiendas o deliberadamente de una persona anciana o un adulto con discapacidad, sin causar gran daño corporal, discapacidad permanente ni desfiguración permanente. El abuso incluye infligir intencionalmente una lesión, realizar un acto intencional del que razonablemente se espere una lesión, alentar activamente tal acto, o el aislamiento o la restricción intencional y sin autoridad del acceso familiar en las circunstancias especificadas. Delito grave de tercer grado. Para la rama de aislamiento o restricción del acceso familiar, es defensa que el acusado creyera razonablemente que la medida era necesaria para proteger el bienestar de la persona. El § 825.101 contiene las definiciones aplicables de persona anciana y adulto con discapacidad.","明知或故意虐待老年人或残障成年人，但未造成严重身体伤害、永久残疾或永久毁容。虐待包括故意造成伤害、实施可合理预期导致伤害的故意行为、积极鼓励他人实施此类行为，或在法定情形下故意且无合法授权地隔离该人或限制其与家人接触。 三级重罪。对于隔离或限制家人接触的分支，被告有合理理由相信该行为为保护该人的福祉所必要，属于一项抗辩。第825.101条规定了老年人和残障成年人的适用定义。","","","","",""
"3","new_selectable_batch_f","fl-fs-825-102-2-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","","Abuse, aggravated abuse, and neglect of an elderly person or disabled adult; penalties","825.102(2)","Fla. Stat. § 825.102(2)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0825/Sections/0825.102.html","eligible","new_selectable_development_record_requires_attorney_review","The exact official heading supplies the statutory identity; subsection (2) supplies three aggravated-abuse alternatives and the first-degree-felony grade, with the incorporated aggravated-battery branch bound to current §§ 784.03 and 784.045.","Does record fl-fs-825-102-2-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties accurately state the offense identity, conduct, grade, definitions, exceptions, and defenses at Fla. Stat. § 825.102(2)? If not, specify an exact correction or other catalog action.","Committing aggravated abuse of an elderly person or disabled adult by committing aggravated battery on the person; willfully torturing, maliciously punishing, or willfully and unlawfully caging the person; or knowingly or willfully abusing the person and thereby causing great bodily harm, permanent disability, or permanent disfigurement. First-degree felony. Section 825.101 defines elderly person and disabled adult. Sections 784.03 and 784.045 together supply the incorporated battery and aggravated-battery elements.","Cometer abuso agravado de una persona anciana o un adulto con discapacidad mediante agresión física agravada contra la persona; torturarla deliberadamente, castigarla maliciosamente o enjaularla deliberada e ilícitamente; o abusar de ella a sabiendas o deliberadamente y causar así gran daño corporal, discapacidad permanente o desfiguración permanente. Delito grave de primer grado. El § 825.101 define persona anciana y adulto con discapacidad. Los §§ 784.03 y 784.045 contienen conjuntamente los elementos incorporados de la agresión física y la agresión física agravada.","通过以下方式加重虐待老年人或残障成年人：对其实施加重殴打；故意折磨、恶意惩罚或故意且非法地将其关入笼中；或者明知或故意虐待并由此造成严重身体伤害、永久残疾或永久毁容。 一级重罪。第825.101条界定老年人及残障成年人。第784.03条与第784.045条共同规定所纳入的殴打及加重殴打要件。","","","","",""
"4","new_selectable_batch_f","fl-fs-825-102-3-b-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","","Abuse, aggravated abuse, and neglect of an elderly person or disabled adult; penalties","825.102(3)(b)","Fla. Stat. § 825.102(3)(b)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0825/Sections/0825.102.html","eligible","new_selectable_development_record_requires_attorney_review","The exact official heading supplies the statutory identity; paragraph (3)(b) supplies willful-or-culpably-negligent neglect, the resulting-harm element, and the second-degree-felony grade.","Does record fl-fs-825-102-3-b-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties accurately state the offense identity, conduct, grade, definitions, exceptions, and defenses at Fla. Stat. § 825.102(3)(b)? If not, specify an exact correction or other catalog action.","Willfully or by culpable negligence neglecting an elderly person or disabled adult and thereby causing great bodily harm, permanent disability, or permanent disfigurement. Second-degree felony. Subsection (3)(a) defines neglect, including specified caregiver failures and the required injury or substantial-risk threshold; § 825.101 defines caregiver, elderly person, and disabled adult.","Descuidar deliberadamente o por negligencia culpable a una persona anciana o un adulto con discapacidad y causar así gran daño corporal, discapacidad permanente o desfiguración permanente. Delito grave de segundo grado. El inciso (3)(a) define la negligencia, incluidas las omisiones especificadas del cuidador y el umbral exigido de lesión o riesgo sustancial; el § 825.101 define cuidador, persona anciana y adulto con discapacidad.","故意或因有罪过的过失疏忽照料老年人或残障成年人，并由此造成严重身体伤害、永久残疾或永久毁容。 二级重罪。第(3)(a)款界定疏忽照料，包括法定照护者失职以及所要求的伤害或重大风险门槛；第825.101条界定照护者、老年人及残障成年人。","","","","",""
"5","new_selectable_batch_f","fl-fs-825-102-3-c-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","","Abuse, aggravated abuse, and neglect of an elderly person or disabled adult; penalties","825.102(3)(c)","Fla. Stat. § 825.102(3)(c)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0825/Sections/0825.102.html","eligible","new_selectable_development_record_requires_attorney_review","The exact official heading supplies the statutory identity; paragraph (3)(c) supplies willful-or-culpably-negligent neglect, the no-great-harm limitation, and the third-degree-felony grade.","Does record fl-fs-825-102-3-c-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties accurately state the offense identity, conduct, grade, definitions, exceptions, and defenses at Fla. Stat. § 825.102(3)(c)? If not, specify an exact correction or other catalog action.","Willfully or by culpable negligence neglecting an elderly person or disabled adult without causing great bodily harm, permanent disability, or permanent disfigurement. Third-degree felony. Subsection (3)(a) defines neglect, including specified caregiver failures and the required injury or substantial-risk threshold; § 825.101 defines caregiver, elderly person, and disabled adult.","Descuidar deliberadamente o por negligencia culpable a una persona anciana o un adulto con discapacidad sin causar gran daño corporal, discapacidad permanente ni desfiguración permanente. Delito grave de tercer grado. El inciso (3)(a) define la negligencia, incluidas las omisiones especificadas del cuidador y el umbral exigido de lesión o riesgo sustancial; el § 825.101 define cuidador, persona anciana y adulto con discapacidad.","故意或因有罪过的过失疏忽照料老年人或残障成年人，但未造成严重身体伤害、永久残疾或永久毁容。 三级重罪。第(3)(a)款界定疏忽照料，包括法定照护者失职以及所要求的伤害或重大风险门槛；第825.101条界定照护者、老年人及残障成年人。","","","","",""
"6","new_selectable_batch_f","fl-fs-827-03-2-a-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","","Abuse, aggravated abuse, and neglect of a child; penalties","827.03(2)(a)","Fla. Stat. § 827.03(2)(a)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0827/Sections/0827.03.html","eligible","new_selectable_development_record_requires_attorney_review","The exact official heading supplies statutory identity; paragraph (2)(a) expressly criminalizes aggravated child abuse and states the first-degree-felony grade, while subsection (1)(a) and current §§ 784.03 and 784.045 close the definition and incorporated aggravated-battery branch.","Does record fl-fs-827-03-2-a-abuse-aggravated-abuse-and-neglect-of-a-child-penalties accurately state the offense identity, conduct, grade, definitions, exceptions, and defenses at Fla. Stat. § 827.03(2)(a)? If not, specify an exact correction or other catalog action.","Committing aggravated child abuse by committing aggravated battery on a child; willfully torturing, maliciously punishing, or willfully and unlawfully caging a child; or knowingly or willfully abusing a child and thereby causing great bodily harm, permanent disability, or permanent disfigurement. First-degree felony. Subsection (1)(a) supplies the complete aggravated-child-abuse definition, and § 827.01 defines child as a person under 18. Sections 784.03 and 784.045 together supply the incorporated battery and aggravated-battery elements.","Cometer abuso infantil agravado mediante agresión física agravada contra un menor; torturarlo deliberadamente, castigarlo maliciosamente o enjaularlo deliberada e ilícitamente; o abusar del menor a sabiendas o deliberadamente y causar así gran daño corporal, discapacidad permanente o desfiguración permanente. Delito grave de primer grado. El inciso (1)(a) contiene la definición completa de abuso infantil agravado y el § 827.01 define menor como una persona de menos de 18 años. Los §§ 784.03 y 784.045 contienen conjuntamente los elementos incorporados de la agresión física y la agresión física agravada.","通过以下方式实施加重虐待儿童：对儿童实施加重殴打；故意折磨、恶意惩罚或故意且非法地将儿童关入笼中；或者明知或故意虐待儿童并由此造成严重身体伤害、永久残疾或永久毁容。 一级重罪。第(1)(a)款规定加重虐待儿童的完整定义，第827.01条将儿童界定为未满18岁者。第784.03条与第784.045条共同规定所纳入的殴打及加重殴打要件。","","","","",""
"7","new_selectable_batch_f","fl-fs-827-03-2-b-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","","Abuse, aggravated abuse, and neglect of a child; penalties","827.03(2)(b)","Fla. Stat. § 827.03(2)(b)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0827/Sections/0827.03.html","eligible","new_selectable_development_record_requires_attorney_review","The exact official heading supplies statutory identity; paragraph (2)(b) supplies willful-or-culpably-negligent neglect, resulting great harm, and the second-degree-felony grade, with the complete neglect definition retained as a same-section dependency.","Does record fl-fs-827-03-2-b-abuse-aggravated-abuse-and-neglect-of-a-child-penalties accurately state the offense identity, conduct, grade, definitions, exceptions, and defenses at Fla. Stat. § 827.03(2)(b)? If not, specify an exact correction or other catalog action.","Willfully or by culpable negligence neglecting a child and thereby causing great bodily harm, permanent disability, or permanent disfigurement. Second-degree felony. Subsection (1)(e) defines neglect and preserves the independent-activity limitation; § 827.01 defines child and caregiver.","Descuidar deliberadamente o por negligencia culpable a un menor y causar así gran daño corporal, discapacidad permanente o desfiguración permanente. Delito grave de segundo grado. El inciso (1)(e) define la negligencia y conserva la limitación relativa a las actividades independientes; el § 827.01 define menor y cuidador.","故意或因有罪过的过失疏忽照料儿童，并由此造成严重身体伤害、永久残疾或永久毁容。 二级重罪。第(1)(e)款界定疏忽照料并保留关于儿童独立活动的限制；第827.01条界定儿童及照护者。","","","","",""
"8","new_selectable_batch_f","fl-fs-827-03-2-c-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","","Abuse, aggravated abuse, and neglect of a child; penalties","827.03(2)(c)","Fla. Stat. § 827.03(2)(c)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0827/Sections/0827.03.html","eligible","new_selectable_development_record_requires_attorney_review","The exact official heading supplies statutory identity; paragraph (2)(c) supplies knowing-or-willful abuse, the no-great-harm limitation, and the third-degree-felony grade, with the complete abuse definition retained as a same-section dependency.","Does record fl-fs-827-03-2-c-abuse-aggravated-abuse-and-neglect-of-a-child-penalties accurately state the offense identity, conduct, grade, definitions, exceptions, and defenses at Fla. Stat. § 827.03(2)(c)? If not, specify an exact correction or other catalog action.","Knowingly or willfully abusing a child without causing great bodily harm, permanent disability, or permanent disfigurement. Third-degree felony. Subsection (1)(b) defines child abuse as intentional injury, an intentional act reasonably expected to cause injury, or active encouragement of an act that causes or could reasonably be expected to cause injury; § 827.01 defines child.","Abusar a sabiendas o deliberadamente de un menor sin causar gran daño corporal, discapacidad permanente ni desfiguración permanente. Delito grave de tercer grado. El inciso (1)(b) define el abuso infantil como lesión intencional, un acto intencional del que razonablemente se espere una lesión, o el aliento activo de un acto que cause o pueda razonablemente esperarse que cause una lesión; el § 827.01 define menor.","明知或故意虐待儿童，但未造成严重身体伤害、永久残疾或永久毁容。 三级重罪。第(1)(b)款将虐待儿童界定为故意造成伤害、实施可合理预期导致伤害的故意行为，或积极鼓励实施造成或可合理预期造成伤害的行为；第827.01条界定儿童。","","","","",""
"9","new_selectable_batch_f","fl-fs-827-03-2-d-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","","Abuse, aggravated abuse, and neglect of a child; penalties","827.03(2)(d)","Fla. Stat. § 827.03(2)(d)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0827/Sections/0827.03.html","eligible","new_selectable_development_record_requires_attorney_review","The exact official heading supplies statutory identity; paragraph (2)(d) supplies willful-or-culpably-negligent neglect, the no-great-harm limitation, and the third-degree-felony grade, with the complete neglect definition retained as a same-section dependency.","Does record fl-fs-827-03-2-d-abuse-aggravated-abuse-and-neglect-of-a-child-penalties accurately state the offense identity, conduct, grade, definitions, exceptions, and defenses at Fla. Stat. § 827.03(2)(d)? If not, specify an exact correction or other catalog action.","Willfully or by culpable negligence neglecting a child without causing great bodily harm, permanent disability, or permanent disfigurement. Third-degree felony. Subsection (1)(e) defines neglect and preserves the independent-activity limitation; § 827.01 defines child and caregiver.","Descuidar deliberadamente o por negligencia culpable a un menor sin causar gran daño corporal, discapacidad permanente ni desfiguración permanente. Delito grave de tercer grado. El inciso (1)(e) define la negligencia y conserva la limitación relativa a las actividades independientes; el § 827.01 define menor y cuidador.","故意或因有罪过的过失疏忽照料儿童，但未造成严重身体伤害、永久残疾或永久毁容。 三级重罪。第(1)(e)款界定疏忽照料并保留关于儿童独立活动的限制；第827.01条界定儿童及照护者。","","","","",""
"10","new_selectable_batch_f","fl-fs-827-04-3-contributing-to-the-delinquency-or-dependency-of-a-child-penalty","","Contributing to the delinquency or dependency of a child; penalty","827.04(3)","Fla. Stat. § 827.04(3)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0827/Sections/0827.04.html","eligible","new_selectable_development_record_requires_attorney_review","The exact official heading supplies statutory identity; subsection (3) independently states the actor and victim ages, impregnation conduct, third-degree-felony grade, separate-prosecution rule, and unavailable defenses.","Does record fl-fs-827-04-3-contributing-to-the-delinquency-or-dependency-of-a-child-penalty accurately state the offense identity, conduct, grade, definitions, exceptions, and defenses at Fla. Stat. § 827.04(3)? If not, specify an exact correction or other catalog action.","A person age 21 or older impregnating a child under age 16. Third-degree felony. The offense applies regardless of whether the person is found to have committed, charged with, or prosecuted for another offense in the same criminal transaction or episode. The victim's lack of chastity and consent are not defenses.","Una persona de 21 años o más que embaraza a una menor de 16 años. Delito grave de tercer grado. El delito se aplica independientemente de que la persona sea declarada autora, acusada o procesada por otro delito en la misma transacción o episodio penal. Ni la falta de castidad ni el consentimiento de la víctima constituyen defensa.","年满21岁者使未满16岁的儿童怀孕。 三级重罪。无论该人是否因同一犯罪交易或事件中的其他罪行被认定有罪、受到指控或被起诉，本罪均适用。受害者并非贞洁或曾表示同意均不构成抗辩。","","","","",""
