"ordinal","legacyId","legacyLabel","legacyCode","legacyCategory","classification","coverageExtent","existingExactRecordIds","existingExactCitations","proposedAction","attorneyQuestion","safeMechanical","evidenceCitations","evidenceSourceHashes","supportQuotes"
"1","fl-voluntary-manslaughter","Voluntary Manslaughter","782.07(1)","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","Does Florida recognize a separately selectable voluntary-manslaughter offense, or should users select § 782.07(1) manslaughter without the common-law modifier?","false","Fla. Stat. § 782.07","2dc8e2be861854f9db54b928abffbeba8a4e014c5c3657b2d16b578817bb136c","782.07 
Manslaughter; aggravated manslaughter of an elderly person or disabled adult; aggravated manslaughter of a child; aggravated manslaughter of an officer, a firefighter, an emergency medical technician, or a paramedic.
—

(1) 
The killing of a human being by the act, procurement, or culpable negligence of another, without lawful justification according to the provisions of chapter 776 and in cases in which such killing shall not be excusable homicide or murder, according to the provisions of this chapter, is manslaughter, a felony of the second degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084.

(2) 
A person who causes the death of any elderly person or disabled…"
"2","fl-involuntary-manslaughter","Involuntary Manslaughter","782.07(1)","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","Does Florida recognize a separately selectable involuntary-manslaughter offense, or should users select § 782.07(1) manslaughter without the common-law modifier?","false","Fla. Stat. § 782.07","2dc8e2be861854f9db54b928abffbeba8a4e014c5c3657b2d16b578817bb136c","782.07 
Manslaughter; aggravated manslaughter of an elderly person or disabled adult; aggravated manslaughter of a child; aggravated manslaughter of an officer, a firefighter, an emergency medical technician, or a paramedic.
—

(1) 
The killing of a human being by the act, procurement, or culpable negligence of another, without lawful justification according to the provisions of chapter 776 and in cases in which such killing shall not be excusable homicide or murder, according to the provisions of this chapter, is manslaughter, a felony of the second degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084.

(2) 
A person who causes the death of any elderly person or disabled…"
"3","fl-criminally-negligent-homicide","Criminally Negligent Homicide","782.07","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","Which Florida offense, if any, is intended by this nonstatutory label?","false","Fla. Stat. § 782.07","2dc8e2be861854f9db54b928abffbeba8a4e014c5c3657b2d16b578817bb136c","782.07 
Manslaughter; aggravated manslaughter of an elderly person or disabled adult; aggravated manslaughter of a child; aggravated manslaughter of an officer, a firefighter, an emergency medical technician, or a paramedic.
—

(1) 
The killing of a human being by the act, procurement, or culpable negligence of another, without lawful justification according to the provisions of chapter 776 and in cases in which such killing shall not be excusable homicide or murder, according to the provisions of this chapter, is manslaughter, a felony of the second degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084.

(2) 
A person who causes the death of any elderly person or disabled…"
"4","fl-felony-murder","Felony Murder","782.04(1)(a)2","felony","covered_by_existing_exact_record","partial","fl-murder-in-the-first-degree | fl-murder-in-the-second-degree | fl-fs-782-04-4-murder-in-the-third-degree","782.04(1) | 782.04(2) | Fla. Stat. § 782.04(4)","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","782.04(1) | 782.04(2) | Fla. Stat. § 782.04(4) | Fla. Stat. § 782.04","1c256b14d82fba90048a3211e57f62c4c54364da26afa9741336029bced23c6a | c89d906a4657ef2f6e64a45ea9acbc074f1ee24fd1e61a01fdad473e74707c67 | 886a87a3967443e7ecc55ed3d96d05b17cd7740dbafcc8cd1307a0a8eefafe45 | 886a87a3967443e7ecc55ed3d96d05b17cd7740dbafcc8cd1307a0a8eefafe45","Murder | Murder | is murder in the third degree | 782.04 
Murder.
—

(1)(a) 
The unlawful killing of a human being:
1. 
When perpetrated from a premeditated design to effect the death of the person killed or any human being;

2. 
When committed by a person engaged in the perpetration of, or in the attempt to perpetrate, any:
a. 
Trafficking offense prohibited by s. 893.135(1),

b. 
Arson,

c. 
Sexual battery,

d. 
Robbery,

e. 
Burglary,

f. 
Kidnapping,

g. 
Escape,

h. 
Aggravated child abuse,

i. 
Aggravated abuse of an elderly person or disabled adult,

j. 
Aircraft piracy,

k. 
Unlawful throwing, placing, or discharging of a destructive device or bomb,

l. 
Carjacking,

m. 
Home-invasion robbery,

n. 
Aggravated stalking,

o. 
Murder…"
"5","fl-assault-on-peace-officer","Assault on Peace Officer","784.07","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","Should § 784.07 be represented as a reclassification attached to an exact assault/battery predicate rather than as a standalone offense?","false","Fla. Stat. § 784.07","c0297979233b51a92ccc25da4268800f2cfa3e25c524d899e5d42700988d7475","784.07 
Assault or battery of law enforcement officers and other specified personnel; reclassification of offenses; minimum sentences.
—

(1) 
As used in this section, the term:
(a) 
“Emergency medical care provider” means an ambulance driver, emergency medical technician, paramedic, registered nurse, physician as defined in s. 401.23, medical director as defined in s. 401.23, or any person authorized by an emergency medical service licensed under chapter 401 who is engaged in the performance of his or her duties. The term “emergency medical care provider” also includes physicians, employees, agents, or volunteers of hospitals as defined in chapter 395, who are employed, under contract, or…"
"6","fl-menacing","Menacing","784.011","misdemeanor","mechanical_correction","full","fl-fs-784-011-assault","Fla. Stat. § 784.011","Retire the legacy row and route selection to fl-fs-784-011-assault; preserve the source-first display name and exact code.","","true","Fla. Stat. § 784.011 | Fla. Stat. § 784.011","143f4f76426ca8661d0c6ee16a6f003b2e7e9a0f08d4b8c7c12155b5f6ac74e6 | 143f4f76426ca8661d0c6ee16a6f003b2e7e9a0f08d4b8c7c12155b5f6ac74e6","Assault | 784.011 
Assault.
—

(1) 
An “assault” is an intentional, unlawful threat by word or act to do violence to the person of another, coupled with an apparent ability to do so, and doing some act which creates a well-founded fear in such other person that such violence is imminent.

(2) 
Except as provided in subsection (3), a person who assaults another person commits a misdemeanor of the second degree, punishable as provided in s. 775.082 or s. 775.083.

(3) 
A person who assaults another person in furtherance of a riot or an aggravated riot prohibited under s. 870.01 commits a misdemeanor of the first degree, punishable as provided in s. 775.082 or s. 775.083.

History.
—
s. 5, Feb. 10, 1832…"
"7","fl-sexual-assault-in-the-second-degree","Sexual Battery (by Force)","794.011(4)","felony","genuinely_missing_offense","none","","","Author a new exact source-first record for the proven offense branch, with exact subdivision and grading evidence.","","false","Fla. Stat. § 794.011","b77d824014613d68e1116453a3cc95bebc48cbba6353d8dd040c11474f65c60a","794.011 
Sexual battery.
—

(1) 
As used in this chapter:
(a) 
“Consent” means intelligent, knowing, and voluntary consent and does not include coerced submission. “Consent” shall not be deemed or construed to mean the failure by the alleged victim to offer physical resistance to the offender.

(b) 
“Female genitals” includes the labia minora, labia majora, clitoris, vulva, hymen, and vagina.

(c) 
“Mentally defective” means a mental disease or defect which renders a person temporarily or permanently incapable of appraising the nature of his or her conduct.

(d) 
“Mentally incapacitated” means temporarily incapable of appraising or controlling a person’s own conduct due to the influence of…"
"8","fl-child-sexual-abuse","Child Sexual Abuse","800.04","felony","covered_by_existing_exact_record","partial","fl-fs-800-04-4-lewd-or-lascivious-battery | fl-fs-800-04-5-lewd-or-lascivious-molestation | fl-fs-800-04-6-lewd-or-lascivious-conduct | fl-fs-800-04-7-lewd-or-lascivious-exhibition","Fla. Stat. § 800.04(4) | Fla. Stat. § 800.04(5) | Fla. Stat. § 800.04(6) | Fla. Stat. § 800.04(7)","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 800.04(4) | Fla. Stat. § 800.04(5) | Fla. Stat. § 800.04(6) | Fla. Stat. § 800.04(7) | Fla. Stat. § 800.04","be4860d2e8183e88e2c2da7747ecf9e8ab4ca31fbbb7cfd83285d066a521a96a | be4860d2e8183e88e2c2da7747ecf9e8ab4ca31fbbb7cfd83285d066a521a96a | be4860d2e8183e88e2c2da7747ecf9e8ab4ca31fbbb7cfd83285d066a521a96a | be4860d2e8183e88e2c2da7747ecf9e8ab4ca31fbbb7cfd83285d066a521a96a | be4860d2e8183e88e2c2da7747ecf9e8ab4ca31fbbb7cfd83285d066a521a96a","A person commits lewd or lascivious battery by: | A person who intentionally touches in a lewd or lascivious manner the breasts, genitals, genital area, or buttocks, or the clothing covering them, of a person less than 16 years of age, or forces or entices a person under 16 years of age to so touch the perpetrator, commits lewd or lascivious molestation. | A person who:
1. 
Intentionally touches a person under 16 years of age in a lewd or lascivious manner; or

2. 
Solicits a person under 16 years of age to commit a lewd or lascivious act

commits lewd or lascivious conduct. | commits lewd or lascivious exhibition | 800.04 
Lewd or lascivious offenses committed upon or in the presence of persons less than 16 years of age.
—

(1) 
DEFINITIONS.—
As used in this section:
(a) 
“Coercion” means the use of exploitation, bribes, threats of force, or intimidation to gain cooperation or compliance.

(b) 
“Consent” means intelligent, knowing, and voluntary consent, and does not include submission by coercion.

(c) 
“Female genitals” includes the labia minora, labia majora, clitoris, vulva, hymen, and vagina.

(d) 
“Sexual activity” means the oral, anal, or female genital penetration by, or union with, the sexual organ of another or the anal or female genital penetration of another by any other object; however, s…"
"9","fl-sexual-exploitation-of-minor","Sexual Exploitation of Minor","827.071","felony","covered_by_existing_exact_record","partial","fl-fs-827-071-2-a-use-of-a-child-in-a-sexual-performance | fl-fs-827-071-2-b-aggravated-use-of-a-child-in-a-sexual-performance | fl-fs-827-071-3-promoting-a-sexual-performance-by-a-child","Fla. Stat. § 827.071(2)(a) | Fla. Stat. § 827.071(2)(b) | Fla. Stat. § 827.071(3)","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 827.071(2)(a) | Fla. Stat. § 827.071(2)(b) | Fla. Stat. § 827.071(3) | Fla. Stat. § 827.071","9fda3cb2d153dbfdc74f881f5db914649710922fcd258f34db885c6e7056e7a5 | 9fda3cb2d153dbfdc74f881f5db914649710922fcd258f34db885c6e7056e7a5 | 9fda3cb2d153dbfdc74f881f5db914649710922fcd258f34db885c6e7056e7a5 | 9fda3cb2d153dbfdc74f881f5db914649710922fcd258f34db885c6e7056e7a5","A person is guilty of the use of a child in a sexual performance if, knowing the character and content thereof, he or she employs, authorizes, or induces a child to engage in a sexual performance or, being a parent, legal guardian, or custodian of such child, consents to the participation by such child in a sexual performance. | A person is guilty of aggravated use of a child in a sexual performance if, knowing the character and content thereof, he or she employs, authorizes, or induces a child younger than 12 years of age to engage in a sexual performance. | A person is guilty of promoting a sexual performance by a child when, knowing the character and content thereof, he or she produces, directs, or promotes any performance which includes sexual conduct by a child. | 827.071 
Sexual performance by a child; child sexual abuse material; penalties.
—

(1) 
As used in this section, the following definitions shall apply:
(a) 
“Child” or “minor” means any person, whose identity is known or unknown, younger than 18 years of age.

(b) 
“Child sexual abuse material” means:
1. 
Any image depicting a minor engaged in sexual conduct; or

2. 
Any image that has been created, altered, adapted, or modified by electronic, mechanical, or other means, to portray an identifiable minor engaged in sexual conduct.

(c) 
“Deviate sexual intercourse” means sexual conduct between persons not married to each other consisting of contact between the penis and the anus, the mouth a…"
"10","fl-petty-theft","Petty Theft","812.014","misdemeanor","covered_by_existing_exact_record","partial","fl-fs-812-014-2-e-petit-theft-of-the-first-degree | fl-fs-812-014-3-a-petit-theft-of-the-second-degree | fl-fs-812-014-3-b-petit-theft | fl-fs-812-014-3-c-petit-theft","Fla. Stat. § 812.014(2)(e) | Fla. Stat. § 812.014(3)(a) | Fla. Stat. § 812.014(3)(b) | Fla. Stat. § 812.014(3)(c)","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 812.014(2)(e) | Fla. Stat. § 812.014(3)(a) | Fla. Stat. § 812.014(3)(b) | Fla. Stat. § 812.014(3)(c) | Fla. Stat. § 812.014","fe7a7c622d57b4b205f717d630c5e1b9c3414f6ce68327a1ce0d17f004247ec3 | fe7a7c622d57b4b205f717d630c5e1b9c3414f6ce68327a1ce0d17f004247ec3 | fe7a7c622d57b4b205f717d630c5e1b9c3414f6ce68327a1ce0d17f004247ec3 | fe7a7c622d57b4b205f717d630c5e1b9c3414f6ce68327a1ce0d17f004247ec3 | fe7a7c622d57b4b205f717d630c5e1b9c3414f6ce68327a1ce0d17f004247ec3","It is petit theft of the first degree and a misdemeanor of the first degree, punishable as provided in s. 775.082 or s. 775.083, if the property stolen is valued at less than $40 and is taken from a dwelling as defined in s. 810.011(2) or from the unenclosed curtilage of a dwelling pursuant to s. 810.09(1). | Theft of any property not specified in subsection (2) is petit theft of the second degree and a misdemeanor of the second degree, punishable as provided in s. 775.082 or s. 775.083, and as provided in subsection (5), as applicable. | A person who commits petit theft and who has previously been convicted of any theft commits a misdemeanor of the first degree, punishable as provided in s. 775.082 or s. 775.083. | A person who commits petit theft and who has previously been convicted two or more times of any theft commits a felony of the third degree, punishable as provided in s. 775.082 or s. 775.083. | 812.014 
Theft.
—

(1) 
A person commits theft if he or she knowingly obtains or uses, or endeavors to obtain or to use, the property of another with intent to, either temporarily or permanently:
(a) 
Deprive the other person of a right to the property or a benefit from the property.

(b) 
Appropriate the property to his or her own use or to the use of any person not entitled to the use of the property.

(2)(a)1. 
If the property stolen is valued at $100,000 or more or is a semitrailer that was deployed by a law enforcement officer; or

2. 
If the property stolen is cargo valued at $50,000 or more that has entered the stream of interstate or intrastate commerce from the shipper’s loading pl…"
