"rowKind","section","subdivision","citation","title","classification","classificationBasis","cacheStatus","retrievedAt","contentHash","sourceUrl","selectableRecordIds","analysisRecordIds","analysisStatuses","legacyCleanupQueueIds","duplicateSameCitation","potentialScopeOverlap","priorityArea","actualOffenseCount"
"section","38.01","","Fla. Stat. § 38.01","Disqualification when judge party; effect of attempted judicial acts","not_yet_analyzed","Official text is cached, but no explicit analysis establishes offense coverage.","official_current_cache","2026-09-18T15:26:20.395Z","5b6b318f26eaa4fda9ac6003aa1a8bacd6f495fab8b95f030fe2f1ec569e578a","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0000-0099/0038/Sections/0038.01.html","","","","","false","false","false",""
"section","38.02","","Fla. Stat. § 38.02","Suggestion of disqualification; grounds; proceedings on suggestion and effect","not_yet_analyzed","Official text is cached, but no explicit analysis establishes offense coverage.","official_current_cache","2026-09-18T15:26:20.395Z","9d8a23530ef195f14bb34c2c3cdf64f726d71449c3595aed88531d99b79c81f0","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0000-0099/0038/Sections/0038.02.html","","","","","false","false","false",""
"section","38.03","","Fla. Stat. § 38.03","Waiver of grounds of disqualification by parties","not_yet_analyzed","Official text is cached, but no explicit analysis establishes offense coverage.","official_current_cache","2026-09-18T15:26:20.395Z","d6bb73d2c09195c1feccbd7f0fc5dd3dbba9c097fd9d95a280b5e4d87e5de763","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0000-0099/0038/Sections/0038.03.html","","","","","false","false","false",""
"section","38.04","","Fla. Stat. § 38.04","Sworn statement by judge holding himself or herself qualified","not_yet_analyzed","Official text is cached, but no explicit analysis establishes offense coverage.","official_current_cache","2026-09-18T15:26:20.395Z","8afce057578cb56a57d7e807d01117cd6ba34fe4778d241a17003f3b3bdde846","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0000-0099/0038/Sections/0038.04.html","","","","","false","false","false",""
"section","38.05","","Fla. Stat. § 38.05","Disqualification of judge on own motion","not_yet_analyzed","Official text is cached, but no explicit analysis establishes offense coverage.","official_current_cache","2026-09-18T15:26:20.395Z","6923ff7d4c20843592bcb5d32d3e3ee9e645f2a494a19bb58ea9e15ddb5a048e","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0000-0099/0038/Sections/0038.05.html","","","","","false","false","false",""
"section","38.06","","Fla. Stat. § 38.06","Effect of acts where judge fails to disqualify himself or herself","not_yet_analyzed","Official text is cached, but no explicit analysis establishes offense coverage.","official_current_cache","2026-09-18T15:26:20.395Z","282d76b5aa8f97afd7e38c49de9a8ece9c9a80d23330a99dafe9dab253129d09","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0000-0099/0038/Sections/0038.06.html","","","","","false","false","false",""
"section","38.07","","Fla. Stat. § 38.07","Effect of orders entered prior to disqualification; petition for reconsideration","not_yet_analyzed","Official text is cached, but no explicit analysis establishes offense coverage.","official_current_cache","2026-09-18T15:26:20.395Z","d85cb91fd18a241b72be6c0db15262be05502f76e7dda647f92e21c12e36c4e7","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0000-0099/0038/Sections/0038.07.html","","","","","false","false","false",""
"section","38.08","","Fla. Stat. § 38.08","Effect of orders where petition for reconsideration not filed","not_yet_analyzed","Official text is cached, but no explicit analysis establishes offense coverage.","official_current_cache","2026-09-18T15:26:20.395Z","87ff22cb56c7fb44b2ae91bacffd6f597682af94bfa63518012d7b285fe9d863","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0000-0099/0038/Sections/0038.08.html","","","","","false","false","false",""
"section","38.09","","Fla. Stat. § 38.09","Designation of judge to hear cause when order of disqualification entered","not_yet_analyzed","Official text is cached, but no explicit analysis establishes offense coverage.","official_current_cache","2026-09-18T15:26:20.395Z","b71bfe42531e8c50bb81436120338d42cd05893d4d5f7dd809770c7b3d63dcd7","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0000-0099/0038/Sections/0038.09.html","","","","","false","false","false",""
"section","38.10","","Fla. Stat. § 38.10","Disqualification of judge for prejudice; application; affidavits; etc","not_yet_analyzed","Official text is cached, but no explicit analysis establishes offense coverage.","official_current_cache","2026-09-18T15:26:20.395Z","a437e35af931fd9bce3fadeb078ceb47c38c0a30c2a3cc65afd89a66b91658e3","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0000-0099/0038/Sections/0038.10.html","","","","","false","false","false",""
