"priority","reviewed_record_id","decision","mapped_code","status","record_id","display_name_en","display_name_es","display_name_zh"
"1","fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Split into separate charges as outlined below","893.147(1)","existing","fl-fs-893-147-1-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Use or possession of drug paraphernalia","Uso o posesión de parafernalia de drogas","使用或持有吸毒用具"
"1","fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Split into separate charges as outlined below","893.147(2)","existing","fl-fs-893-147-2-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Manufacture or delivery of drug paraphernalia","Fabricación o entrega de parafernalia de drogas","制造或交付吸毒用具"
"1","fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Split into separate charges as outlined below","893.147(3)(a)","existing","fl-fs-893-147-3-a-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Delivery of drug paraphernalia to a minor (adult deliverer)","Entrega de parafernalia de drogas a un menor (persona adulta que entrega)","成年人向未成年人交付吸毒用具"
"1","fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Split into separate charges as outlined below","893.147(3)(b)","existing","fl-fs-893-147-3-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Delivery of injection equipment to a minor","Entrega de equipo de inyección a un menor","向未成年人交付注射器具"
"1","fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Split into separate charges as outlined below","893.147(4)(a)","existing","fl-fs-893-147-4-a-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Transportation of a controlled substance using drug paraphernalia","Transporte de una sustancia controlada mediante parafernalia de drogas","使用吸毒用具运输受管制物质"
"1","fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Split into separate charges as outlined below","893.147(4)(b)","existing","fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Transportation of a contraband article using drug paraphernalia","Transporte de un bien de contrabando mediante parafernalia de drogas","使用吸毒用具运输违禁物品"
"1","fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Split into separate charges as outlined below","893.147(5)","existing","fl-fs-893-147-5-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Advertisement of drug paraphernalia","Publicidad de parafernalia de drogas","吸毒用具广告"
"1","fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Split into separate charges as outlined below","893.147(6)","existing","fl-fs-893-147-6-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Retail sale of drug paraphernalia (first or repeat offense)","Venta minorista de parafernalia de drogas (primera infracción o reincidencia)","零售吸毒用具（初犯或再犯）"
"1","fl-fs-893-147-4-b-use-possession-manufacture-delivery-transportation-advertisement-or-retail-sale-of-drug-paraphernalia-specified-machines-and-materials","Split into separate charges as outlined below","893.147(7)","held","","","",""
"2","fl-fs-825-102-1-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","__________________________________________________________________","825.102(1)","existing","fl-fs-825-102-1-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Abuse of an elderly person or disabled adult (no great bodily harm; third-degree felony)","Abuso de una persona anciana o un adulto con discapacidad (sin gran daño corporal; delito grave de tercer grado)","虐待老年人或残障成年人（未造成严重身体伤害；三级重罪）"
