chargeId,catalogLabel,catalogCode,section,verdict,officialCatchline,candidateNames,sourceUrl,reason,evidence,decision,note
"oh-accessory-after-the-fact","Accessory After the Fact","MPC § 2.07 / OH accessory statute","","section_missing","","","","Catalog code ""MPC § 2.07 / OH accessory statute"" does not contain an Ohio section number, and no section states an offense named ""Accessory After the Fact"".","","",""
"oh-aiding-and-abetting","Aiding and Abetting / Accomplice Liability","MPC § 2.06 / OH accomplice statute","","section_missing","","","","Catalog code ""MPC § 2.06 / OH accomplice statute"" does not contain an Ohio section number, and no section states an offense named ""Aiding and Abetting / Accomplice Liability"".","","",""
"oh-animal-at-large","Animal at Large / Leash Law Violation","955.22","955.22","discovery_unresolved","Vicious, dangerous, and nuisance dog acts","","https://codes.ohio.gov/ohio-revised-code/section-955.22","Section 955.22 (""Vicious, dangerous, and nuisance dog acts"") has unresolved discovery signals (local_grade_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","Whoever violates this division is guilty of a misdemeanor of the third degree on a first offense and a misdemeanor of the second degree on each subsequent offense.","",""
"oh-animal-cruelty-misdemeanor","Animal Cruelty (Misdemeanor)","959.13","959.13","discovery_unresolved","Cruelty to animals","","https://codes.ohio.gov/ohio-revised-code/section-959.13","Section 959.13 (""Cruelty to animals"") has unresolved discovery signals (penalty_scope_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(D) Whoever violates division (A) of section 959.13 or section 959.21 of the Revised Code is guilty of a misdemeanor of the second degree.","",""
"oh-assault-on-peace-officer","Assault on Peace Officer","2903.11","2903.11","label_conflict","Felonious assault","felonious assault","https://codes.ohio.gov/ohio-revised-code/section-2903.11","Section 2903.11 states only ""felonious assault"", which does not describe the catalog label ""Assault on Peace Officer"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of felonious assault","",""
"oh-assault-with-deadly-weapon","Assault with Deadly Weapon","2903.11","2903.11","label_conflict","Felonious assault","felonious assault","https://codes.ohio.gov/ohio-revised-code/section-2903.11","Section 2903.11 states only ""felonious assault"", which does not describe the catalog label ""Assault with Deadly Weapon"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of felonious assault","",""
"oh-attempted-murder","Attempted Murder","OH attempted murder statute / MPC § 5.01","","section_missing","","","","Catalog code ""OH attempted murder statute / MPC § 5.01"" does not contain an Ohio section number, and no section states an offense named ""Attempted Murder"".","","",""
"oh-attempted-robbery","Attempted Robbery","OH attempted robbery statute / MPC § 5.01","","section_missing","","","","Catalog code ""OH attempted robbery statute / MPC § 5.01"" does not contain an Ohio section number, and no section states an offense named ""Attempted Robbery"".","","",""
"oh-attempted-sexual-assault","Attempted Sexual Assault","OH attempted sexual assault statute / MPC § 5.01","","section_missing","","","","Catalog code ""OH attempted sexual assault statute / MPC § 5.01"" does not contain an Ohio section number, and no section states an offense named ""Attempted Sexual Assault"".","","",""
"oh-auto-burglary","Auto Burglary","2911.13","2911.13","label_conflict","Breaking and entering","breaking and entering","https://codes.ohio.gov/ohio-revised-code/section-2911.13","Section 2911.13 states only ""breaking and entering"", which does not describe the catalog label ""Auto Burglary"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of breaking and entering","",""
"oh-bank-robbery","Bank Robbery","18 U.S.C. § 2113","","section_missing","","","","Catalog code ""18 U.S.C. § 2113"" does not contain an Ohio section number, and no section states an offense named ""Bank Robbery"".","","",""
"oh-carjacking","Carjacking","2911.02","2911.02","label_conflict","Robbery","robbery","https://codes.ohio.gov/ohio-revised-code/section-2911.02","Section 2911.02 states only ""robbery"", which does not describe the catalog label ""Carjacking"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of robbery","",""
"oh-check-fraud","Check Fraud","2913.11","2913.11","label_conflict","Passing bad checks","passing bad checks","https://codes.ohio.gov/ohio-revised-code/section-2913.11","Section 2913.11 states only ""passing bad checks"", which does not describe the catalog label ""Check Fraud"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of passing bad checks","",""
"oh-child-sexual-abuse","Child Sexual Abuse","2907.05","2907.05","label_conflict","Gross sexual imposition","gross sexual imposition","https://codes.ohio.gov/ohio-revised-code/section-2907.05","Section 2907.05 states only ""gross sexual imposition"", which does not describe the catalog label ""Child Sexual Abuse"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of gross sexual imposition","",""
"oh-computer-fraud","Computer Fraud","2913.04","2913.04","compound_ambiguous","Unauthorized use of property - computer, cable, or telecommunication property","unauthorized use of property | unauthorized use of computer | unauthorized use of the law enforcement automated database system | unauthorized use of the Ohio law enforcement gateway","https://codes.ohio.gov/ohio-revised-code/section-2913.04","Section 2913.04 states 4 offenses and the catalog label matches none of them. Choose the intended offense.","Whoever violates division (A) of this section is guilty of unauthorized use of property | Whoever violates division (B) of this section is guilty of unauthorized use of computer | Whoever violates division (C) of this section is guilty of unauthorized use of the law enforcement automated database system | Whoever violates division (D) of this section is guilty of unauthorized use of the Ohio law enforcement gateway","",""
"oh-conspiracy","Criminal Conspiracy","MPC § 5.03 / OH conspiracy statute","","section_missing","","","","Catalog code ""MPC § 5.03 / OH conspiracy statute"" does not contain an Ohio section number, and no section states an offense named ""Criminal Conspiracy"".","","",""
